job title,company name,location,skills,links
Python Developer,Confidential -,"Cairo, Egypt ",Full TimeRemoteExperienced  5 - 7 Yrs of Exp  IT/Software Development  Information Technology (IT)  Python,https://wuzzuf.net/jobs/p/6s9yHPuY58Yu-Python-Developer-Cairo-Egypt
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",InternshipRemoteStudent  0 - 1 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Algorithms  Information Technology (IT)  Python  Software  Software Development  Software Engineering  Programming,https://wuzzuf.net/internship/XwXoHCEDJryd-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt
Remote Python Data Science Professional,Turing -,"Cairo, Egypt ",Full TimeEntry Level  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  computer science  information technology (it)  software development  engineering  python  sql  software,https://wuzzuf.net/jobs/p/g/yGmSbcTV8Inm-Remote-Python-Data-Science-Professional-Turing-Cairo-Egypt
Python Engineer (Mid-Level),Robert Walters -,"Dubai, United Arab Emirates ",Freelance / ProjectEntry Level  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Python  Computer Science  Information Technology (IT)  Software Engineering  Software Development  Engineering  javaScript,https://wuzzuf.net/jobs/p/g/OlcoDXkVf71u-Python-Engineer-Mid-Level-Robert-Walters-Dubai-United-Arab-Emirates
Remote Python Software Specialist,Turing -,"Cairo, Egypt ",Full TimeEntry Level  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  information technology (it)  computer science  python  computer engineering  javascript  software  english,https://wuzzuf.net/jobs/p/g/DEkW8vwcPwlK-Remote-Python-Software-Specialist-Turing-Cairo-Egypt
Python Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced  8 - 15 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  HTML5  JavaScript  Software Development  Python  Engineering,https://wuzzuf.net/jobs/p/z086le0bsWaG-Python-Developer-Elarkan-for-construction-Alexandria-Egypt
Python Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Development  Information Technology (IT)  Python  Remote  Software Development,https://wuzzuf.net/jobs/p/2bLeG0KBDf91-Python-Developer-Fekra-Technology-Solutions-and-Construction-Giza-Egypt
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Full TimeExperienced  2 - 4 Yrs of Exp  IT/Software Development  Computer Science  Software Development  Python,https://wuzzuf.net/jobs/p/mzasDWYz0tei-Python-Developer-Afaqy-Cairo-Egypt
Python Developer/Java Developer,Confidential -,"Cairo, Egypt ",Full TimePart TimeWork From HomeExperienced  3 - 9 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Java  Python  Programming  Software Development  Web,https://wuzzuf.net/jobs/p/Aql1HMu9SNov-Python-DeveloperJava-Developer-Cairo-Egypt
Python Developer,RTX for Shipping -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level  1 - 7 Yrs of Exp  IT/Software Development  Computer Science  Django  Flask  Python  JavaScript  computer,https://wuzzuf.net/jobs/p/I8QxFXZjctLP-Python-Developer-RTX-for-Shipping-Cairo-Egypt
Python | Odoo Developer,Confidential -,"Cairo, Egypt ",Full TimeManager  2+ Yrs of Exp  IT/Software Development  Odoo  Python  Developer,https://wuzzuf.net/jobs/p/AKMMHaDZYATk-Python-Odoo-Developer-Cairo-Egypt
Backend Developer (Java Spring Boot),Confidential -,"Cairo, Egypt ",Full TimeWork From HomeRemoteExperienced  3+ Yrs of Exp  IT/Software Development  API  JHipster  WSO2  GCP  Amazon AWS  Netflix OSS  PostgreSQL  NoSQL  MySQL,https://wuzzuf.net/jobs/p/avviQNKsXvss-Backend-Developer-Java-Spring-Boot-Cairo-Egypt
Front End Developer (Angular),Confidential -,"Cairo, Egypt ",Full TimeWork From HomeRemoteExperienced  3+ Yrs of Exp  IT/Software Development  Java  PHP  Programming  JavaScript  CSS  React Native  Python  jQuery  API,https://wuzzuf.net/jobs/p/VoVvV7xUbh4D-Front-End-Developer-Angular-Cairo-Egypt
Odoo Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced  2 - 4 Yrs of Exp  IT/Software Development  Odoo  Computer Science  Information Technology (IT)  Django  CSS  JavaScript  Programming  Python,https://wuzzuf.net/jobs/p/BI097nqrWJu6-Odoo-Developer-OdooTec-Cairo-Egypt
Sr. Devops Engineer,waffarha.com -,"Downtown, Cairo, Egypt ",Full TimeHybridExperienced  3 - 5 Yrs of Exp  males_only  IT/Software Development  Engineering - Telecom/Technology  Engineering  DevOps  AWS  Software Development  Linux  Information Technology (IT)  Python  MySQL,https://wuzzuf.net/jobs/p/eBfpgkrbS5fw-Sr-Devops-Engineer-waffarha-com-Cairo-Egypt
